cfe,9913740,8802,30,74
cff,9750695,9204,116,292
cfg,9922461,8782,39,76
cga,9708805,10003,31,106
cgb,9903011,9050,383,686
cgc,9762893,7506,102,181
cgd,9698385,7907,102,169
cge,9976042,8006,5,6
cgf,9185124,8523,77,149
cgg,9818711,7464,332,662
daa,9788500,9252,80,237
dab,9855302,10284,161,397
dac,9811536,9864,5,13
dad,9940532,11220,134,186
dae,9517176,9904,144,282
daf,9897976,6710,281,422
dag,9961144,9239,24,98
dba,9844127,8075,45,95
dbb,9657939,8438,60,114
dbc,9914047,7346,247,361
dbd,9664888,9082,333,535
dbe,9840310,8004,98,214
dbf,9956775,8291,34,121
dbg,9976024,8757,354,560
dca,9984168,9217,370,656
dcb,9861679,8209,56,134
dcc,9888621,7687,151,340
dcd,9990533,10112,45,167
dce,9940938,8320,62,206
dcf,9647311,10966,40,93
dcg,9708408,9404,68,177
dda,9940598,9109,74,249
ddb,9882357,8581,141,285
ddc,9403269,9046,123,194
ddd,9924440,9508,234,380
dde,9837613,10907,14,55
ddf,9844811,9314,75,120
ddg,9954096,7932,96,206
dea,9870684,10166,149,360
deb,9956917,8511,385,733
dec,9766911,9616,119,299
ded,9397425,8175,7,24
dee,9979270,9476,214,368
def,9903344,8952,98,172
deg,9949966,8672,18,52
dfa,9980590,9711,163,329
dfb,9433015,7546,18,57
dfc,9998940,9921,108,243
dfd,9727915,10100,170,433
dfe,9867237,10805,65,217
dff,9537431,10253,123,222
dfg,9960190,6888,165,312
dga,9882711,10184,15,65
dgb,9972724,8680,114,287
dgc,9932433,8496,144,353
dgd,9787585,10013,39,87
dge,9872730,8611,144,333
dgf,9766604,8240,37,87
dgg,9904546,10189,42,61
eaa,9860972,9854,116,190
eab,9800698,9846,228,367
eac,9943252,9095,146,245
ead,9991315,8830,90,168
eae,9954420,9307,31,79
eaf,9989748,7389,28,46
eag,9978403,10653,69,110
eba,9977164,8378,216,345
ebb,9980042,8480,126,233
ebc,9970438,8122,169,269
ebd,9912655,8275,87,231
ebe,9675476,9615,405,802
ebf,9835881,8813,131,255
ebg,9856374,7470,211,359
eca,9929651,8509,10,47
ecb,9958704,9512,125,185
ecc,9940701,8495,534,887
ecd,9931317,10710,12,37
ece,9548461,9020,105,349
ecf,9621295,8888,133,211
ecg,9905233,9632,7,26
eda,9865770,9003,24,76
edb,9933123,8934,69,126
edc,9988330,9827,29,56
edd,9979239,7470,96,168
ede,9954976,8056,359,571
edf,9804448,7693,72,114
edg,9967296,8141,200,315
eea,9935065,8232,53,180
eeb,9968225,9086,195,387
eec,9800117,7572,13,59
eed,9974221,7848,11,34
eee,9989103,8560,106,299
eef,9867212,8452,140,292
eeg,9942380,8857,10,19
efa,9912084,7214,43,113
efb,9960650,7577,149,192
efc,9729840,8530,124,227
efd,9979606,8741,127,279
efe,9883690,8497,191,368
eff,9764509,9100,172,395
efg,9843601,8247,101,182
ega,9810122,7941,349,502
egb,9997649,9163,86,161
egc,9545984,8155,93,244
egd,9875163,9033,155,301
ege,9921533,8259,27,101
egf,9935556,7456,288,465
egg,9771036,8028,100,215
faa,9853257,8668,77,199
fab,9926731,9227,264,395
fac,9972883,9651,104,264
fad,9767401,9084,7,19
fae,9811194,9549,320,520
faf,9980873,8757,92,205
fag,9396463,7630,219,396
fba,9860015,8828,41,97
fbb,9851100,8943,6,22
fbc,9907836,9750,70,170
fbd,9938050,9003,180,328
fbe,9765091,10002,26,71
fbf,9947042,9774,111,144
fbg,9910939,8024,124,204
fca,9871312,8736,151,213
fcb,9936829,9273,36,152
fcc,9753122,8838,15,67
fcd,9627321,10144,82,157
fce,9932023,9735,5,16
fcf,9732959,8506,74,216
fcg,9816899,10971,236,412
fda,9726455,8476,181,236
fdb,9981158,8099,15,31
fdc,9958175,9116,112,207
fdd,9996604,9456,144,288
fde,9794275,8403,111,276
fdf,9837153,10343,246,461
fdg,9890522,8963,131,352
fea,9670266,9707,146,231
feb,9942042,8539,121,239
fec,9764141,7584,43,120
fed,9968031,7602,192,311
fee,9919704,9752,49,195
fef,9999609,8347,30,81
feg,9795606,7917,99,135
ffa,9954960,8431,76,132
ffb,9587133,11358,211,442
ffc,9960588,9120,36,153
ffd,9751053,9132,6,16
ffe,9997861,8995,11,31
fff,9848508,9056,108,196
ffg,9872517,9290,173,322
fga,9765260,8995,118,221
fgb,9949795,7227,117,293
fgc,9985786,7944,74,148
fgd,9837816,9687,40,140
fge,9781147,9563,178,359
fgf,9853239,7922,12,32
fgg,9831039,8686,185,410
gaa,9989284,8348,145,282
gab,9943786,8449,44,67
gac,9391870,9482,176,283
gad,9961226,9231,57,127
gae,9781047,10385,10,32
gaf,9962021,9546,60,108
gag,9877034,8718,52,113
gba,9826275,9388,7,24
gbb,9910530,8302,80,150
gbc,9782756,7712,12,36
gbd,9904627,8319,230,470
gbe,9996280,9817,169,345
gbf,9926546,9231,147,266
gbg,9924901,8722,75,256
gca,9714701,9075,343,743
gcb,9748401,8463,121,213
gcc,9996588,8520,100,229
gcd,9931376,7980,191,447
gce,9762556,9047,57,176
gcf,9911752,9415,139,357
gcg,9797433,7438,88,225
gda,9950029,9328,22,72
gdb,9964632,9871,59,238
gdc,9963559,8487,215,452
gdd,9977661,6505,86,148
gde,9659613,9626,44,192
gdf,9846144,9509,8,21
gdg,9711773,9691,40,97
gea,9878375,8625,18,49
geb,9554424,9356,159,220
gec,9827860,10345,194,283
ged,9915468,7779,122,166
gee,9972866,7869,38,200
gef,9723519,9667,179,378
geg,9845749,8588,140,256
gfa,9928080,9900,52,83
gfb,9956236,8445,64,224
gfc,9671438,10250,165,393
gfd,9940119,8763,109,202
gfe,9651918,8525,19,62
gff,9968003,10810,17,54
gfg,9796730,8895,40,78
gga,9825599,9482,154,229
ggb,9914110,9873,127,212
ggc,9467058,8179,146,242
ggd,9709636,9745,9,26
gge,9752989,8790,74,153
ggf,9963156,10042,38,210
ggg,9430714,9019,105,208
